id,human_readable_id,title,type,description,text_unit_ids,frequency,degree
fd42687d-47ec-4452-a2e6-c190e21ca477,241,84㎡형 단위세대 평면도 (확장형),EVENT,"84㎡형 단위세대 평면도 (확장형)은 84㎡ 규모의 확장형 아파트 단위세대에 대한 건축 평면도이다. 이 도면은 확장된 주거 공간의 전체 배치와 실내 구성을 보여주며, 방과 거실 등의 공간 배치, 발코니, 엘리베이터 홀, 그리고 각종 유틸리티 공간을 포함한다. 또한 치수, 설비, 고정 시설물, 그리고 건축 관련 주석이 함께 표시되어 있어, 해당 84㎡형 단위세대의 평면 구조와 설계 의도를 종합적으로 파악할 수 있는 문서이다.","['9f5fb8c039cba31d46690f646b840681193811898b63abb3ef9bee31afd2cdc3eef6e14c8d972d9d6e2dd6b2b4b85b0cf1913418d215490a37558db70cc17e0a'
 '229d2e11875d92dbad3f676fcbfc69f961b2a17dcdd52e7a4ef459d8cded631e3355eacf5ae7f45c7716ad6224f2890026bc0b9be0c2a72a31e3c5ecc23fe469'
 '229d2e11875d92dbad3f676fcbfc69f961b2a17dcdd52e7a4ef459d8cded631e3355eacf5ae7f45c7716ad6224f2890026bc0b9be0c2a72a31e3c5ecc23fe469'
 '4a15db4d3a26173cd9a43087b3dfe04d7cda07475c805d68e2d9863bb935a99950089d5b25f0a8e10a601b9982c508dd6683010cef1b5a6f7c6b04b734fb721b'
 '98dd8c0b9b73350423f3b644568ab0630ebe13e4a4028a00fd400f1ec50ec0a262950fe014ad7b3e4fc6ee51a4b7901f2c0d1a7d9b36b15b682c126111cc335f'
 'f8661bb204d1dc3f40e6dc891ca46e52fdb583b2387d63efe49e7c54002ebf7b1325070d2e7a652afd2a30f314993f120f5eb1c40bf14eac7595434ee0e45706']",6,75
3c0b55fd-819d-4e34-be18-2f315cb0d978,2317,전등설비,EVENT,"전등설비는 도면과 노트에 포함된 전기 조명 설비 설치 시스템으로, 건물 내 조명 기능을 구성하는 LED 조명기구, 스위치, 배선, 분전반 등 관련 구성 요소와 설치 사양을 포괄한다. 전등설비는 조명 설치 및 시방 항목으로서, LED fixture type의 선정과 적용, 스위치 배치 및 제어 방식, 배선 규격과 시공 기준, 그리고 조명 시스템과 연계된 설치 유의사항을 포함하여 설계된다. 또한 전등설비는 평면도에 표시된 조명 설비 정보와 노트 섹션에 참조된 전기 조명 장비를 함께 반영한 것으로, 실제 시공 및 유지관리를 위한 기준과 세부 요구사항을 제공하는 역할을 한다.","['85d4721d7a31f6bb5af2f96cc81489f60cf9d2727b2b466824df298b206dfff1bf9137d41e316e024c5dfbbec5d19138ee67054fc84adbfd6ed070929ff46572'
 '91dfd372ab15b681d02ef1be7eb6f92f1337623c75d62e8d945d60a8237da230c158954584a0ab26dfd2db13fc151a4a40dd43de4713fa05d93cb4f825811cf1'
 '0065c804e348148bd17a6ed60054c0f2d844a38fcb42d5afd556b96d823268df0163bfefc849af93fbac28bb4888aeb6c712526221c9e70a73515b8618c18f37']",3,70
41d30f29-5b73-4dad-a889-aea7a807efff,1414,평생건강관리센타,ORGANIZATION,"평생건강관리센타는 건물 계획도와 관련 설비도면에 표시된 주요 시설 공간으로, 평생 건강 관리를 위한 센터로 해석된다. 도면상에서는 건물의 한 구역 또는 시설 명칭으로 나타나며, 프로젝트 내 핵심 기능 공간 중 하나로 포함되어 있다.  

이 시설은 단순한 명칭 표기를 넘어 여러 세부 기능실을 포함하는 복합 공간으로 보인다. 관련 설명에 따르면 평생건강관리센타에는 재활운동 공간, 접수 구역, 상담실, 계측 공간, 검사실, 그리고 건강 검진 및 관리와 연계된 기타 서비스 공간이 배치되어 있다. 또한 건축 평면도, 단면도, 위생배관도, 환기 도면 등 여러 도면에서 확인되며, 층별 마감/면적 표기와 함께 벽체 및 창호 면적 정보도 연결되어 있는 시설 영역으로 나타난다.  

종합하면, 평생건강관리센타는 건물 내에서 건강 관리, 상담, 측정, 검사, 재활운동 등을 제공하는 종합 건강관리 시설 공간이며, 도면상 주요 프로그램 공간으로 명확히 구분된 센터이다.","['0b8d281347082a40b3251082eebb9eca5ec50c42f36e1e40041dd6b95812d44205beec073ea5cf813328dfc8a0e152a31bc6e2f2a508d819a3f29e5c252c1774'
 '0b8d281347082a40b3251082eebb9eca5ec50c42f36e1e40041dd6b95812d44205beec073ea5cf813328dfc8a0e152a31bc6e2f2a508d819a3f29e5c252c1774'
 'ae7902d07cbff2a25a54a1fc2398b050c40aeb4685f37c88f731863bc8052565104f4aa09ca3d64a7b7c6bb8823b3eeb8ad3586a8ec06b9ac35183f53fe05bb0'
 'ae7902d07cbff2a25a54a1fc2398b050c40aeb4685f37c88f731863bc8052565104f4aa09ca3d64a7b7c6bb8823b3eeb8ad3586a8ec06b9ac35183f53fe05bb0'
 '0aebb5431aa736431cb1ce336aedf580cca23865a6923bad9be8aebb83a8566109eb0084d122d07b8e3d746277fe1b7fcf2f439bcd766915fee3983a5f4e3de7'
 'b526987a256ec83aa4d2e1f2dc7fdf5456ceb4e1d86fd93af24ca7eedbfe0d6da5becef5df136436ee0008acd9301cec23f67924489190d288f44f4e3313b7aa'
 'f7e08c001a5ee1409992755ba5e5b5da850340f6fa9907eb5b75b593271ccda1e1aae79e5d2554129704f5dc4d9252b21a6a9390e60af2c9c0f4103938d62fb7'
 '7c356e38bdef1328d0ba0c83aa148ef294018cda42a39b2c4c71bbb7f5a5c5f4456e28a15f3886bcfd611fd905297300892a789917fc0d89287ea32bed94ab9e'
 'c3cc8935e580ae25d037012aeffa94f464a482e50f964fdd04209af5b3331a4a3a6dc403839cc47ce3407a1f84a0b5f365b5b222f9f9057f55b4977bf32b0184'
 '3139d83177384334c171e8dbc781197d1faff57b67af22f58b972c1d8115cd1f43180ea9209afa931e9b9f2651be9b2e62fa075c25bef9fb5dd75304c75c32ae'
 '3a966bb4478a40eae30b5d02c8a738078634929ddb44bbf5dfab2f29bae2b754ba10c9ddf3262e1bc92b6840f7e21b4a18def11a7dce78735186125df1acb5c1']",11,55
5f72c054-1bf0-4e3c-aae7-7ea0cd68ba1d,138,107동,GEO,"107동 is a residential building block in an apartment complex construction project. It is identified in the architectural drawings as Building 107 and is used as the reference building for the 84㎡형 unit type. The building appears across multiple plan sets, including basement, first-floor, upper-floor, ground-floor, and rooftop drawings, as well as unit layouts, sectional drawings, and front and right elevation views.

According to the unit composition table, 107동 contains a total of 58 units. The drawings indicate that it is part of a larger apartment complex and that its design includes detailed floor arrangements from the basement through the rooftop level. Overall, 107동 serves as a standard residential block in the complex, with its architectural documentation covering both its exterior form and internal unit organization.","['e354254a1f0d674e0712339fad9b2761148995f8af53b764da9e58a891bb18c4047ab9d3ea61e9afd84ab31fc9863d0d21ffa1717229fda5f563690839f3954f'
 '33d15036a7ec844a6fcc671fa12787feedbc3383f064f5909b98bf85016c7d942baca1661b96730f385c78293212662bb90bfdb328fc00c4bc4f23ebf365f124'
 'da15cb707a59121be887560c7808c1df51e6d3f1e95dbfe0dce3634a832a4931878af3f4b5536a307ae910cc1cbe99616412fee73a632d426b387ad61312bace'
 'f8db7248021e80846985caa71f205b19e40d5e89a583960869f0a9415a6a56e8b7fbf0948358a53978dfa0ac3ce3cd3660964ec2a7cfb1daca391d4b8ec72175'
 '7c75dac995b41c0c216a19a3233ecda78c425b3f118ca33de2b2c96d8d3a529176f5f835629f31ae58f92a5f6dcdecb66a07065850ee78ebeec8d59cc3115a1e']",5,43
b09b24f7-41b3-4cae-a034-c7b403149ca3,726,기계실,GEO,"기계실 is a mechanical or equipment room that serves as a central installation and operating location for building and geothermal system components. It houses equipment such as pumps, heat exchangers, water tanks, expansion tanks, headers, and ventilation equipment. The piping system is connected and routed from 기계실, making it a key hub in the diagram and an important central point where heating piping connects to and branches into the building’s wider system. In this role, 기계실 functions as the main mechanical area supporting the distribution and operation of the building’s heating and related utility systems.","['c2bfd031ea82e8cdbbd7b9b053ae2e29836f0555aec52b24554565cce06ce9cfe8449bf7d5e7d758895cfe14611384e8d2cfa2d794ffc141406f4a4c6197e788'
 'afb57a389ca82e577ab8b96a04b99911659ee49d722ffa6971d8e803d11203227a1d44547642906b03c1bd8bca75ceabb74af92d147e50946693d531e9a1df25'
 'afb57a389ca82e577ab8b96a04b99911659ee49d722ffa6971d8e803d11203227a1d44547642906b03c1bd8bca75ceabb74af92d147e50946693d531e9a1df25'
 'b4a7f3673c8b7908337ae3aa54df460c94c0d7d9843365ef671d2d4e34490224604403ff1f331a09779dc99faa3f14473108ce95861369d8356d863eb2b0f94f']",4,40
16c881c9-20ec-4a53-8af0-99cd19482bd7,1385,SECTION A-A,EVENT,"The sectional drawing labeled A, showing a vertical cross-section of the building from basement to roof with floor levels and construction details",['8055e66daf72b43d845cbd8a938b02d975c6110a78179778ee7ff2f26d3ccd9a5a3d74d515e239745533c32a75d8b10c61935fc20f59f1ee922287dc99e106d3'],1,39
cbca2c28-be09-4950-adf8-761e98f4b978,1341,NOTE,EVENT,"NOTE is used on the drawings as a note field, notes label, and general notes section within the title block and drawing metadata. It appears across multiple sheets as a structured set of numbered construction, coordination, technical, and procedural instructions that govern how the drawings should be interpreted and executed. The NOTE section provides general requirements for construction and installation, including specification and compliance guidance, and may apply to architectural, plumbing, mechanical, ventilation, and solar installation drawings. In some contexts, NOTE contains general instructions for construction and installation of the ventilation system or solar installation, while in others it serves as the general notes section on architectural sheets or as a numbered set of construction and coordination notes for plumbing and mechanical work. Overall, NOTE functions as the central repository for drawing-wide requirements, interpretation guidance, and execution instructions.","['899065b730a41089d5b41499c8f349bb6d65db4be9f9a0c010c21a8ca384ac6a21c6cf11f453a619914d5649200e472a3765d202be68a03eeab04e7909b48a4b'
 '0aebb5431aa736431cb1ce336aedf580cca23865a6923bad9be8aebb83a8566109eb0084d122d07b8e3d746277fe1b7fcf2f439bcd766915fee3983a5f4e3de7'
 '324a294c0abb2aa7154d64ea0586bffb148112dc68876dbb9735a7e0c1ec1f5d18042c5c9eec1d9bb4584ba2de4cdd187571080876813f27aacfdee527aad151'
 'fdda621caf46defd241af92edc774429b0abb611a1bf86b588c17b1468b774e3b034b0be3c61de670e47f0ba391b335a928a32c3d0533aa2f9581252d8080780'
 '89633442fa04ef599b8f19bfb50ea78d638a888d3aea81e13eb8f93f67c2017dfbec02ad16ba47917a3016d1f19fe2e3b8811a250f5eca0155635c4f611cb501'
 '758edf72f0acdef6cf21abaf67719a2bab43f763f34378408d7be164ae3026c7aa2c35bceba64c0cbe528828b0adb8026d5e9037f453bee65d3875507819a2cb'
 '8328d1718f241b455fe80536a4b037acfe8292ff619cf1540e12aa156a946e68179130ebc9b0c22892d2144a5edb98bf893c238ffb502046e89b831002e2be18'
 '905390bbe35ae367a594188a74df24c8d23b71d81770b124dfebd2328edcd4a1c90a2f4e743efaf0b1cb614d78fa6b77eb22eb12d1629b847ffc5ccc193ccc43'
 'ddf52cd6b47d8e12bd7e5ac417dedcf3b6d8ce9e4cbbd8939a986676fa5e8b7c4b5a19f017a7b896ead2358f06a7bc96e641592b4b6f9049602cc3abfc64a74a'
 '4ece64191b77b8a3b85a93790072bbfc587210f0eee8fd3318a314d2decf2dd3d9b7fa80a2d6fcbbe1ad99ce7dd5d8d40a5f48429ece031092e7c8299b59f01f'
 'cd3e02fe9b384eaf21656b29a74a5f802a5193ff31b357a77e56e656b748baa8bf5ead0ebadd87f0ce738a23a19e28150b7b4cec15517f632cc076409a546649']",11,33
ab93afb4-94ac-419e-8d85-fd6846e6d477,1859,EHP,ORGANIZATION,"EHP refers to an electric heat pump system used as heating, ventilation, and air-conditioning equipment in the document. It appears repeatedly in the equipment schedule and specification tables, where it is grouped with GHP as a listed HVAC equipment category. The EHP entries describe both indoor and outdoor units and include associated cooling and heating capacity specifications.  

In the HVAC piping drawings, EHP is also shown as a piping system with numbered installations, including “6번 EHP” on the fourth-floor plan and “7번 EHP” on the roof-level and fifth-floor piping plans. For these installations, the document provides piping-related details such as total pipe length, maximum pipe length, and vertical height. Overall, EHP is presented as an electric heat pump HVAC system with specified equipment capacities and piping layout requirements across multiple floors and roof-level plans.","['cd2b865e7399197d23b2f6e35ee4b0c8dc6416e774e3a0e5c6e5b4a8e0e60c795eaed1380338fefc5988a102bc9e533c3da51b8f817d23b6640bc1c19fed8442'
 'b526987a256ec83aa4d2e1f2dc7fdf5456ceb4e1d86fd93af24ca7eedbfe0d6da5becef5df136436ee0008acd9301cec23f67924489190d288f44f4e3313b7aa'
 'c699e59a1b4aca4a58bc50054ed5c226eeeace2130854ef7b6d7248238c32f391444a5a5d17f1db04047a586889b7f21d0f5632328e7fc6cf103bc4fd1f2eb0a'
 '8a780bd3c1ac3d94067e68c8c310c9b62dae12c5648082f1c53948d607b32928a355ca7f167fcb555d11f183835078867446742b17a389bb16753d89aa31de6f'
 'd3b5b6323bcb8b98255a538d3dc86253fb7510eeb4674d57ba859a5eb68846f38358785f1f074fb54978e3f44ed9c617335e91298f2bc77fe9c6b6590a9b49fc'
 '8aa57d9bc661a813a0dbd6227ea725af6120bb66cdc82e62ccbbc52e260b2ebd40bc3c010e4d044169fa09681314cb068ca4a0f503402d1f68e3f268b54c56d9'
 '1f9ffe21e608314dd575fd2623031598dcc9387899f99460eb9c917653760c06fd826e5d873d5fbd76eedd2ffb9701c961f7bdffd6872310b7d8aa8b8a3d877f']",7,33
b2d9fabf-f439-42a1-b526-341a9b968e0e,1559,창 호 도 -4,EVENT,"A window schedule/drawing sheet labeled 창 호 도 -4, detailing window types, dimensions, materials, and locations for the building.",['ab21bc930531c322883dbd46b9c65e86fd34ce413048deeb47452684aa185d92387794c01925e9045ed5dae40d63014239ac23f4329ffa8ece54fe8a5e57fe41'],1,33
aa4ce3db-2a92-4f48-b3b2-e555067d090b,114,공동주택 신축공사,EVENT,"**공동주택 신축공사**는 도면 전반에서 공통적으로 지칭되는 신규 **공동주택(다세대/아파트) 신축 공사**로, 건축 도면의 제목란·도면 목록·주기(비고) 및 전반적 문서 표기에 따라 “주요 공사명(메인 프로젝트명)”으로 확인된다. 본 공사는 **신규 아파트 단지 조성**을 대상으로 하며, 도면 세트에 포함된 **건축 평면도**와 같은 전형적 계획도서에서 공동주택 건축 계획이 문서화되어 있다.

또한 **공동주택 신축공사**는 단순한 건물 신축을 넘어, 도면에 함께 제시되는 **사이트 레이아웃(부지 배치) 및 개발 구성(건물 블록 표기)**을 통해 단지 규모의 전체 개발 범위를 포함하는 것으로 정리된다. 문서 구성상 **단위(세대) 수준의 조명기구 디테일**과 관련된 내용이 포함되어 있으며, 이와 연계된 **전기공사(전기 설비 작업)**가 성능/시방 사양 및 도면에 반영된다. 즉, 도면과 시방서에는 신축 공동주택의 전반적 건축뿐 아니라 **조명 및 전기 관련 시공 범위**가 명시적으로 포함되어 있다.

세부적으로는 **특정 동(예: 107동)**에 대한 **층별 평면도, 옥상도(루프 계획), 그리고 유닛(세대) 단면도**가 함께 제시되어, 단지 전체의 신축 공사명 아래에서 동 단위 도면 체계가 구성된 형태로 확인된다. 종합하면, **공동주택 신축공사**는 “도면 제목 및 주기에서의 주요 공사명”으로 반복 표기되는 **신규 공동주택 신축(다세대 아파트) 프로젝트**이며, 도면 세트에는 부지 배치와 건물 계획, 동별 계획도 및 단위 단면, 그리고 **조명기구 및 전기공사 범위**가 포함된 것으로 정리된다.","['e354254a1f0d674e0712339fad9b2761148995f8af53b764da9e58a891bb18c4047ab9d3ea61e9afd84ab31fc9863d0d21ffa1717229fda5f563690839f3954f'
 '33d15036a7ec844a6fcc671fa12787feedbc3383f064f5909b98bf85016c7d942baca1661b96730f385c78293212662bb90bfdb328fc00c4bc4f23ebf365f124'
 'da15cb707a59121be887560c7808c1df51e6d3f1e95dbfe0dce3634a832a4931878af3f4b5536a307ae910cc1cbe99616412fee73a632d426b387ad61312bace'
 'f8db7248021e80846985caa71f205b19e40d5e89a583960869f0a9415a6a56e8b7fbf0948358a53978dfa0ac3ce3cd3660964ec2a7cfb1daca391d4b8ec72175'
 '9f5fb8c039cba31d46690f646b840681193811898b63abb3ef9bee31afd2cdc3eef6e14c8d972d9d6e2dd6b2b4b85b0cf1913418d215490a37558db70cc17e0a'
 '98bb812c7399f7f40e64d02dc76e3daf85ccc726a52d5cef51164dd802dcd264a40f6839fe122cb0eec03655fb117054d495c1b0fa7fa045d29ae18bac76d62d'
 '4039bed152f39dfce5acc1150ed4c33332bb9268bacfaa063204f8c264dd34041eda762bb849d9cc7e35084115ebfe83726baa61b226b3b3dab6679b07458c24'
 '8c8310ed8af7b5f69679ca96db5cd38404b1d2ff3f2e72b803bbc74d022a498b686ce83878e70b879dae6fe541f3b81197acd716321691e538c5d07a875ac978'
 '588d63cdee6adbdea596b52e6d3cdff0139aa1ef2140b3e87c70b73cebf37c410edde592a58e156151be1b8ec1b19c6e0a4d4b6e2fa5feb18be66fd3b2dc90cc'
 '229d2e11875d92dbad3f676fcbfc69f961b2a17dcdd52e7a4ef459d8cded631e3355eacf5ae7f45c7716ad6224f2890026bc0b9be0c2a72a31e3c5ecc23fe469'
 '4a15db4d3a26173cd9a43087b3dfe04d7cda07475c805d68e2d9863bb935a99950089d5b25f0a8e10a601b9982c508dd6683010cef1b5a6f7c6b04b734fb721b'
 '98dd8c0b9b73350423f3b644568ab0630ebe13e4a4028a00fd400f1ec50ec0a262950fe014ad7b3e4fc6ee51a4b7901f2c0d1a7d9b36b15b682c126111cc335f'
 'f8661bb204d1dc3f40e6dc891ca46e52fdb583b2387d63efe49e7c54002ebf7b1325070d2e7a652afd2a30f314993f120f5eb1c40bf14eac7595434ee0e45706'
 'b18e03a9493653c9848fb42a8148bd0a4077c3e797b15daa7653fa859ad27cd2a272281eebba43d1ab3790809807622aaf8c6c341c603c508503752080a0add1'
 '57e2d77fe10dd680dadbaf86dd527ea1f7b62c4ed5418fc49b87363c1236f6ee1a87028509b6926796813eb83ee2d9e8dd4ac89c237a8bc63d90e0313d28b015'
 'c6bc163dc36693a975da478999684956410314d6c6fd1caae6c1e93f6b9e2ced9a69b5e038b6bdb4c0e743a59158cabdc540ec9633fee320102aef06767de308'
 'c6bc163dc36693a975da478999684956410314d6c6fd1caae6c1e93f6b9e2ced9a69b5e038b6bdb4c0e743a59158cabdc540ec9633fee320102aef06767de308']",17,32
